data.date,data.owned or leased,data.parking spaces,data.status,data.type,location.congressional district,location,region_id,data.disabilities.ADA Accessible,usable,City,location.address.state,address_code
1996.10.1,OWNED,957,ACTIVE,STRUCTURE,98,DC0516,11,Yes,0,WASHINGTON,DC,200043002
0,OWNED,0,ACTIVE,BUILDING,98,DC0519,11,Will Conform,0,WASHINGTON,DC,205150001
0,OWNED,0,ACTIVE,BUILDING,98,DC0520,11,Will Conform,0,WASHINGTON,DC,205150001
1935.1.1,OWNED,14,ACTIVE,BUILDING,98,DC0521,11,Will Conform,290165,WASHINGTON,DC,204600005
1934.1.1,OWNED,19,ACTIVE,BUILDING,98,DC0522,11,Will Conform,273697,WASHINGTON,DC,200049800
1935.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0523,11,Will Conform,84558,WASHINGTON,DC,200049800
0,OWNED,0,ACTIVE,BUILDING,98,DC0524,11,Will Conform,0,WASHINGTON,DC,205100001
0,OWNED,0,ACTIVE,BUILDING,98,DC0525,11,Will Conform,0,WASHINGTON,DC,205430001
0,OWNED,0,ACTIVE,BUILDING,98,DC0526,11,Will Conform,0,WASHINGTON,DC,200013632
0,OWNED,0,ACTIVE,BUILDING,98,DC0527,11,Will Conform,0,WASHINGTON,DC,203170001
0,OWNED,0,ACTIVE,BUILDING,98,DC0529,11,Will Conform,0,WASHINGTON,DC,205609997
2019.1.1,OWNED,63,ACTIVE,BUILDING,98,DC0531,11,Will Conform,21027,WASHINGTON,DC,200372851
1933.1.1,OWNED,28,ACTIVE,BUILDING,98,DC0532,11,Will Conform,8450,WASHINGTON,DC,200372851
1933.1.1,OWNED,56,ACTIVE,BUILDING,98,DC0533,11,Will Conform,50337,WASHINGTON,DC,200372851
2000.6.13,LEASED,78,ACTIVE,BUILDING,98,DC0536,11,Yes,66271,WASHINGTON,DC,200363803
1996.10.1,OWNED,0,ACTIVE,BUILDING,98,DC0545,11,Yes,577,WASHINGTON,DC,203735832
0,OWNED,0,ACTIVE,BUILDING,98,DC0551,11,Will Conform,0,WASHINGTON,DC,202200001
1999.5.24,LEASED,2,ACTIVE,BUILDING,98,DC0554,11,Yes,24973,WASHINGTON,DC,200042128
0,LEASED,0,ACTIVE,BUILDING,98,DC0557,11,Yes,54143,WASHINGTON,DC,200052702
0,LEASED,2,ACTIVE,BUILDING,98,DC0560,11,Yes,100440,WASHINGTON,DC,200064502
0,LEASED,24,ACTIVE,BUILDING,98,DC0564,11,Will Conform,216558,WASHINGTON,DC,200028019
2007.6.1,OWNED,200,ACTIVE,BUILDING,98,DC0566,11,Yes,244276,WASHINGTON,DC,200023325
0,LEASED,17,ACTIVE,BUILDING,98,DC0569,11,Yes,337066,WASHINGTON,DC,200246118
0,LEASED,0,ACTIVE,BUILDING,98,DC0571,11,Yes,19949,WASHINGTON,DC,200012109
2005.1.1,OWNED,159,ACTIVE,BUILDING,98,DC0573,11,Will Conform,182840,WASHINGTON,DC,20001
1952.10.1,LEASED,4,ACTIVE,BUILDING,8,DC0575,11,Will Conform,3928,WASHINGTON,DC,200016000
0,LEASED,4,ACTIVE,BUILDING,98,DC0576,11,Yes,40733,WASHINGTON,DC,200242103
0,LEASED,17,ACTIVE,BUILDING,98,DC0585,11,Yes,16834,WASHINGTON,DC,200371103
2010.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0591,11,Will Conform,16232,WASHINGTON,DC,20037
1843.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0592,11,Will Conform,13281,WASHINGTON,DC,20037
2010.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0593,11,Will Conform,16376,WASHINGTON,DC,20037
2010.1.1,OWNED,4,ACTIVE,BUILDING,98,DC0594,11,Will Conform,12684,WASHINGTON,DC,20037
2010.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0595,11,Will Conform,10455,WASHINGTON,DC,20037
2010.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0596,11,Will Conform,0,WASHINGTON,DC,20037
2010.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0597,11,Will Conform,0,WASHINGTON,DC,20037
0,OWNED,0,ACTIVE,BUILDING,98,DC0598,11,Will Conform,0,WASHINGTON,DC,20037
0,OWNED,0,ACTIVE,STRUCTURE,98,DC0610,11,Will Conform,0,WASHINGTON,DC,20004
1889.1.1,OWNED,0,EXCESS,BUILDING,98,DC0631,11,Will Conform,0,WASHINGTON,DC,203700001
1941.1.1,OWNED,0,EXCESS,BUILDING,98,DC0648,11,Will Conform,0,WASHINGTON,DC,203700001
1942.1.1,OWNED,0,ACTIVE,LAND,98,DC0650,11,Will Conform,0,WASHINGTON,DC,203700001
2013.11.12,LEASED,2,ACTIVE,BUILDING,98,DC0660,11,Yes,87265,WASHINGTON,DC,20002
0,LEASED,95,ACTIVE,BUILDING,98,DC0670,11,Yes,29915,WASHINGTON,DC,200033701
0,LEASED,22,ACTIVE,STRUCTURE,98,DC0680,11,Yes,0,WASHINGTON,DC,200371117
0,LEASED,25,ACTIVE,BUILDING,98,DC0685,11,Will Conform,26755,WASHINGTON,DC,20018
1952.5.21,LEASED,0,ACTIVE,BUILDING,98,DC0686,11,Yes,17500,WASHINGTON,DC,200181522
2019.9.19,OWNED,936,ACTIVE,BUILDING,98,DC0687,11,No,1299544,WASHINGTON,DC,20003
0,OWNED,0,ACTIVE,STRUCTURE,98,DC0688,11,Will Conform,0,WASHINGTON,DC,200061945
0,LEASED,88,ACTIVE,STRUCTURE,98,DC0690,11,Will Conform,0,WASHINGTON,DC,200055905
0,LEASED,0,ACTIVE,BUILDING,98,DC0696,11,Will Conform,2820,WASHINGTON,DC,200061602
0,LEASED,0,ACTIVE,BUILDING,98,DC0702,11,Yes,13204,WASHINGTON,DC,200016000
0,LEASED,0,ACTIVE,BUILDING,98,DC0703,11,Will Conform,29639,WASHINGTON,DC,200052403
0,LEASED,0,ACTIVE,BUILDING,98,DC0704,11,Will Conform,8250,WASHINGTON,DC,200016000
1960.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0705,11,Will Conform,58138,WASHINGTON,DC,202400001
0,LEASED,0,ACTIVE,BUILDING,98,DC0707,11,Will Conform,187837,WASHINGTON,DC,200041412
0,LEASED,0,ACTIVE,BUILDING,98,DC0712,11,Will Conform,21307,WASHINGTON,DC,200056156
0,LEASED,0,ACTIVE,STRUCTURE,98,DC0713,11,Will Conform,53,WASHINGTON,DC,200184300
2007.8.15,LEASED,0,ACTIVE,BUILDING,98,DC0717,11,Yes,63500,WASHINGTON,DC,200243206
0,LEASED,7,ACTIVE,BUILDING,98,DC0719,11,Yes,137536,WASHINGTON,DC,200033319
1882.1.1,OWNED,0,ACTIVE,BUILDING,98,DC0720,11,Will Conform,8500,WASHINGTON,DC,200023742
0,LEASED,0,ACTIVE,BUILDING,98,DC0728,11,Will Conform,0,WASHINGTON,DC,20002
0,LEASED,0,ACTIVE,BUILDING,98,DC0734,11,No,50295,WASHINGTON,DC,200052221
0,LEASED,0,ACTIVE,BUILDING,98,DC0811,11,Will Conform,21479,WASHINGTON,DC,200053101
0,LEASED,11,ACTIVE,BUILDING,98,DC0852,11,Yes,146654,WASHINGTON,DC,200063705
0,OWNED,0,ACTIVE,STRUCTURE,98,DC0997,11,Will Conform,0,WASHINGTON,DC,204070001
0,OWNED,0,ACTIVE,BUILDING,98,DC1003,11,Will Conform,0,WASHINGTON,DC,200360000
0,LEASED,0,ACTIVE,BUILDING,98,DC1085,11,Will Conform,92708,WASHINGTON,DC,200013732
0,LEASED,0,ACTIVE,BUILDING,98,DC1117,11,Will Conform,0,WASHINGTON,DC,200363402
1964.1.1,LEASED,132,ACTIVE,BUILDING,98,DC1123,11,Will Conform,398354,WASHINGTON,DC,200064403
1959.1.1,LEASED,124,ACTIVE,BUILDING,98,DC1147,11,Will Conform,85010,WASHINGTON,DC,205424960
1970.1.1,LEASED,15,ACTIVE,BUILDING,98,DC1170,11,Will Conform,307332,WASHINGTON,DC,200242576
1923.1.1,LEASED,0,ACTIVE,BUILDING,98,DC1178,11,Will Conform,15691,WASHINGTON,DC,200041000
0,OWNED,0,ACTIVE,BUILDING,98,DC1180,11,Will Conform,0,WASHINGTON,DC,200062801
1969.1.1,LEASED,175,ACTIVE,BUILDING,98,DC1184,11,Will Conform,258580,WASHINGTON,DC,200054035
1971.1.1,LEASED,0,ACTIVE,BUILDING,98,DC1216,11,Will Conform,0,WASHINGTON,DC,200042904
0,LEASED,10,ACTIVE,BUILDING,98,DC1234,11,Will Conform,200764,WASHINGTON,DC,200023300
1966.1.1,OWNED,305,ACTIVE,BUILDING,98,DC1250,11,Will Conform,411958,WASHINGTON,DC,200370006
1973.1.1,LEASED,5,ACTIVE,BUILDING,98,DC1261,11,Will Conform,222247,WASHINGTON,DC,200012542
0,OWNED,0,ACTIVE,BUILDING,98,DC1264,11,Will Conform,0,WASHINGTON,DC,20024
